number,theme,bucket,repro_type,verdict,evidence_summary,repro_test_path,recommended_pass1,recommended_pass2_labels,verdict_source,notes
3884,packaging,B,partial-runtime,INCONCLUSIVE-needs-project-with-managed-deps,"Source review: PackageNamespaceVersionDependency.install (dependencies.py L437-475) and PackageVersionIdDependency.install (L499-528) BOTH guard with skip-if-already-at-this-or-newer-version logic. CumulusCI repo itself has no project__dependencies block, so end-to-end dev_org rerun cannot exercise the path. Likely the report conflates 'Resolving dependencies...' log noise or unmanaged-metadata redeploys with reinstalls.",/tmp/repro/4/evidence/3884-source-skip-logic.txt,closed:missing-fields,n/a,v4.10.0,"Original closed:missing-fields (rule 3 missing cci-version) is appropriate. Source review shows skip logic is in place; report may reflect unmanaged-metadata redeploy or user perception of log output. Without a customer project to reproduce on, no further action."
3886,dependencies,A,bug,REPRODUCED-on-v4.10.0,"Warning ""Optional dependencies are missing... cumulusci[select]"" emits at import time of cumulusci/tasks/bulkdata/select_utils.py whenever numpy/pandas/annoy/sklearn aren't installed. extract.py -> mapping_parser/step -> select_utils import chain triggers it on every extract_dataset run, even when no select strategy is configured. Behavior added in PR #3858 (89a5b5ddb) and unchanged through v4.10.0. Extraction itself works fine; only the noise persists.",/tmp/repro/11/tests/test_3886_select_warning.py,keep-open,"theme:dependencies,bulkdata,ux,log-noise",v4.10.0,"Dual-themed (bulkdata + dependencies); classified under dependencies per the bundle instructions. Fix candidates: defer warning until select strategy is actually used, or downgrade to debug-level."
3889,packaging,A,feature,REPRODUCED-on-v4.10.0,UninstallPackage only accepts namespace (1GP); UninstallPackageZipBuilder uses InstalledPackage destructive changes; no 04t/SubscriberPackageVersion-based uninstall task,,keep-open,"severity:medium,area:packaging,area:2gp,area:unlocked-package",v4.10.0,sf cli 'package uninstall -p 04t...' is the underlying API; new UninstallPackageVersion task could wrap Tooling API SubscriberPackageVersion delete
3899,packaging,B,partial-runtime,INCONCLUSIVE-needs-1gp-packaging-org,"unschedule_apex (cumulusci.yml L646-651) sends 1 line of trivial Apex via Tooling API: 'for (CronTrigger t : [SELECT Id FROM CronTrigger]) { System.abortJob(t.Id); }'. Ran cleanly on scratch org repro-pkg-b2-dev. Reporter's error references Salesforce platform-internal Java classes (system.scheduler.cron.JobType, common.udd.constants.CronJobTypeEnum) — root cause is upstream Salesforce platform NPE, not CCI.",/tmp/repro/4/evidence/3899-task-and-error-analysis.txt,kept-open,"severity:minor,area:packaging,external/upstream-salesforce,v5-candidate:no",v4.10.0,CCI sends correct trivial Apex; the System.UnexpectedException originates inside Salesforce's scheduler subsystem. Cannot fix in CCI. Recommend annotating with external/upstream-salesforce label (or equivalent) and considering close-as-not-our-bug after a brief look for any Salesforce known-issue reference.
3902,install-managed-security-type-04t,C,code-only,INCONCLUSIVE-needs-managed-package-04t,v4.10.0 install_package_version.py:162-167 routes 04t versions through PackageVersionIdDependency.install -> install_package_by_version_id -> _install_package_by_version_id which posts {'SecurityType': options.security_type} to the Tooling API PackageInstallRequest (package_install.py:170). Verified runtime serialization: SecurityType.ADMIN serializes to JSON 'NONE'. Both 04t and namespace+version paths pass security_type identically. No code-side defect found.,,needs-info,needs-managed-package-fixture,v4.10.0,"Could not provision a real managed package 04t to validate runtime API behavior. Code path is correct; observed user behavior (tab visible to non-admins) likely originates from Salesforce Tooling API treatment of SecurityType=NONE for upgrades or from package metadata, not from CumulusCI."
3910,scratch-org-config,bug,unit-pytest,REPRODUCED-on-dev,"ScratchOrg.namespaced declared as ``str`` in cumulusci/utils/yaml/cumulusci_yml.py:150; auto-generated cumulusci/schema/cumulusci.jsonschema.json:424 has ""type"": ""string""; ScratchOrg.parse_obj({""namespaced"": True}) silently coerces to ""True"" string. Open PR #3911 fixes both. Six XFAIL assertions added.",cumulusci/tests/triage/test_issue_3910.py,keep-open,"bug,has-open-pr",dev,Fixing the schema alone is insufficient because make schema regenerates it from the Pydantic model. PR #3911 correctly updates both files; recommend nudging it through review.
3929,packaging,B,runtime,NOT-REPRODUCED-on-v4.10.0,"Ran create_community with name=TestWebsite template='Customer Service' url_path_prefix=testwebsite against scratch org repro-pkg-b2-dev (orgs/dev.json with Communities feature). Community 0DBRK000000QtNR4A0 created in ~117s with normal polling escalation (1->2->3->...->8s) and exited the poll loop cleanly — no 300s timeout, no retry. Matches OP comment 2025-10-22 that the underlying SF CLI/server-side issue is fixed.",/tmp/repro/4/evidence/3929-create_community.log,closed:not-reproducible-on-v4.10.0,n/a,v4.10.0,Currently kept-open with needs-repro label; recommend flip to closed:not-reproducible-on-v4.10.0 (NEW vocabulary per spec amendment). Confirmed working end-to-end. Original cause was upstream SF CLI/Communities API bug now fixed.
3931,metadata-etl,B,bug,REPRODUCED-on-v4.10.0,Unit repro (with synthetic profile XML containing a layoutAssignments element that has a <layout> child but no <recordType> child) raises 'AttributeError: NoneType object has no attribute text' at update_profile.py:291 inside _set_record_types. The buggy line is `if elem.find('recordType').text == rt['record_type']:` which assumes every layoutAssignments element has a recordType child; this is not true (a layoutAssignments without recordType applies to records without a record-type binding),/tmp/repro/5/tests/issue-3931/repro_unit.py,keep-open,bug,v4.10.0,Reported on cci 4.6.0 and reproduces unchanged on 4.10.0. Minimal fix at update_profile.py:290-293: change to `rt_elem = elem.find('recordType'); if rt_elem is not None and rt_elem.text == rt['record_type']: ...`. Also worth scanning sibling code in _set_record_types for similar None-deref patterns on optional children.
3936,bulkdata,B,bug,INCONCLUSIVE-needs-flaky-network,"salesforce_api/utils.py get_simple_salesforce_connection (lines 30-43) constructs Salesforce() with no timeout kwarg and only retries 502/503/504 via Retry(total=5). No CCI-side option exposes connect/read timeout for SF API calls. The reported error ""HTTPSConnectionPool ... Read timed out. (read timeout=None)"" with timeout=None usually means the proxy/VPN closed the socket; CCI cannot mitigate without exposing a configurable timeout AND a retry policy for read timeouts.",none — code-only,unchanged,"keep-open,bug,area:bulkdata,severity:major,needs-repro,v5-candidate:yes",v4.10.0,Already kept-open by maintainer (recent 2025-12-03). Environment-specific reproduction (corporate VPN). Confirmed structural gap: no exposed timeout option. v5 candidate: add timeout option + read-timeout retry to get_simple_salesforce_connection and to bulk job HTTP polling.
3938,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,rest_deploy.py _monitor_deploy_status (line 119) returns silently on Failed; __call__ also only logs on non-201 status_code; no exception raised,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3938_rest_deploy_failure_does_not_raise,keep-open,"severity:critical,area:rest-deploy,type:bug,silent-failure",v4.10.0,CRITICAL: rest_deploy:True silently passes failed deploys; flows continue thinking deploy succeeded. Recently filed (2025-12-16). Likely affects MetaDeploy plans
3939,metadata-etl,A,bug,REPRODUCED-on-v4.10.0,metadata.py BaseMetadataApiCall.__call__ wraps every Exception from _process_response (incl. ApexTestException at line 540) in MetadataParseError losing original message,/tmp/repro/2/tests/test_issues_bucket_a.py::test_issue_3939_deploy_apex_test_failure_swallowed,keep-open,"severity:high,area:salesforce-api,type:bug,error-handling",v4.10.0,"Fix: re-raise CCI exception classes (MetadataApiError, MetadataComponentFailure, ApexTestException) without wrapping. Also recently filed; same reporter as #3938; both block production deploys"
3951,metadata-etl,B,bug,REPRODUCED-on-v4.10.0,Live repro: `cci task run set_duplicate_rule_status -o api_names Standard_Rule_for_Leads_with_Duplicate_Contacts -o active False` -> 'Cannot find metadata file .../duplicateRules/Standard_Rule_for_Leads_with_Duplicate_Contacts.duplicateRule'. Same command with the canonical API name format `Lead.Standard_Rule_for_Leads_with_Duplicate_Contacts` succeeds end-to-end (extract -> transform -> deploy -> Success). The functional task is not actually broken; the bug is the unhelpful error when the user omits the Object prefix that the Metadata API requires for DuplicateRule,/tmp/repro/5/tests/issue-3951/output-no-prefix.txt,improve-error-message,"bug,good-first-issue,documentation",v4.10.0,"Two improvements: (1) update set_duplicate_rule_status docs and task option help to show that api_names need the <Object>.<RuleName> format; (2) in MetadataSingleEntityTransformTask._transform (base.py:332), when the file is missing, list the files actually retrieved so users can spot the naming gap. Could also pre-validate api_names contain a dot for entity types that require it."
3953,metadata-etl,B,bug,REPRODUCED-on-v4.10.0,"Live CLI repro: `cci task run add_picklist_entries --org X -o picklists 'Account.Status__c' -o entries '[{""fullName"": ""TestValue"", ""label"": ""Test Value""}]'` -> 'The fullName key is required on all picklist values'. AddPicklistEntries._init_options (picklists.py:68) checks `'fullName' in entry for entry in self.options['entries']` directly, but no JSON parser is run on the CLI value first; the CLI passes 'entries' through as a string, so iteration walks the characters of the JSON string, none of which contain the substring 'fullName'. process_list_arg is run on 'picklists' but not on 'entries'",/tmp/repro/5/tests/issue-3953/output.txt,keep-open,"bug,good-first-issue",v4.10.0,"Minimal fix in AddPicklistEntries._init_options: if isinstance(self.options.get('entries'), str): self.options['entries'] = json.loads(self.options['entries']). Apply same pattern to record_types option for consistency. Same class of bug exists in AddFieldsToPageLayout (`fields` and `pages` options); see line 'value is not a valid list' from issue-3613 testing."
3955,robotframework,bug-in-source,bug,REPRODUCED-on-dev,"cumulusci/robotframework/SalesforcePlaywright.py:106 splits size with str.split('x', 1) yielding two strings, then passes them directly to browser.new_context(viewport={""width"": width, ""height"": height}) on line 109-111 without int casting; Playwright rejects strings with ""viewport.width: expected integer, got string""",cumulusci/tests/triage/test_issue_3955.py,keep-open,"bug,robotframework,playwright,good-first-issue",dev,Trivial 1-line fix: cast width/height to int. Pytest stubs the Browser library and asserts new_context receives int dimensions.
